ilce_adi,mahalle_adi,vs30_ortalama,vs30_min,vs30_max,vs30_piksel_sayisi,vs30_guven_seviyesi
Adalar,Nizam Mahallesi,432.91,180.0,590.02,14,yuksek
Adalar,Maden Mahallesi,426.98,180.0,600.0,18,yuksek
Adalar,Kınalıada Mahallesi,313.9,192.81,442.66,6,orta
Adalar,Heybeliada Mahallesi,400.25,232.8,600.0,13,yuksek
Adalar,Burgazada Mahallesi,441.64,180.0,600.0,12,yuksek
Küçükçekmece,Atakent Mahallesi,397.61,262.23,547.67,23,yuksek
Küçükçekmece,Atatürk Mahallesi,359.42,314.42,434.39,8,orta
Küçükçekmece,Beşyol Mahallesi,325.97,284.16,373.08,3,dusuk
Küçükçekmece,Cennet Mahallesi,405.35,337.64,467.26,5,orta
Küçükçekmece,Cumhuriyet Mahallesi,451.22,324.83,522.49,5,orta
Küçükçekmece,Fatih Mahallesi,347.37,180.0,497.01,12,yuksek
Küçükçekmece,Fevzi Çakmak Mahallesi,409.78,324.83,467.93,4,orta
Küçükçekmece,Gültepe Mahallesi,357.56,320.68,414.38,5,orta
Küçükçekmece,Halkalı Merkez Mahallesi,426.68,358.01,547.67,18,yuksek
Küçükçekmece,İnönü Mahallesi,421.99,328.68,508.67,10,yuksek
Küçükçekmece,İstasyon Mahallesi,407.39,262.23,547.67,13,yuksek
Küçükçekmece,Kanarya Mahallesi,435.33,324.83,522.49,9,orta
Küçükçekmece,Kartaltepe Mahallesi,381.58,269.42,488.74,8,orta
Küçükçekmece,Kemalpaşa Mahallesi,362.48,324.83,414.38,4,orta
Küçükçekmece,Mehmet Akif Mahallesi,355.75,298.32,434.39,8,orta
Küçükçekmece,Söğütlü Çeşme Mahallesi,425.49,359.05,467.93,6,orta
Küçükçekmece,Sultan Murat Mahallesi,331.24,324.83,337.64,2,dusuk
Küçükçekmece,Tevfikbey Mahallesi,423.12,312.71,508.67,7,orta
Küçükçekmece,Yarımburgaz Mahallesi,382.47,262.23,490.6,16,yuksek
Küçükçekmece,Yeni Mahalle,431.13,324.83,522.49,7,orta
Küçükçekmece,Yeşilova Mahallesi,368.53,337.64,425.93,3,dusuk
Beşiktaş,Arnavutköy Mahallesi,537.89,363.67,649.19,4,orta
Beşiktaş,Balmumcu Mahallesi,422.04,290.85,478.22,5,orta
Beşiktaş,Bebek Mahallesi,510.97,360.78,649.19,9,orta
Beşiktaş,Etiler Mahallesi,439.07,261.11,628.72,8,orta
Beşiktaş,Gayrettepe Mahallesi,423.61,360.68,478.22,5,orta
Beşiktaş,Kültür Mahallesi,459.62,298.83,649.19,6,orta
Beşiktaş,Kuruçeşme Mahallesi,522.26,390.01,649.19,6,orta
Beşiktaş,Levazım Mahallesi,415.2,290.85,465.75,5,orta
Beşiktaş,Mecidiye Mahallesi,470.22,442.99,529.55,5,orta
Beşiktaş,Nispetiye Mahallesi,375.04,290.85,465.75,6,orta
Beşiktaş,Ortaköy Mahallesi,476.07,442.99,529.55,6,orta
Beşiktaş,Ulus Mahallesi,444.85,390.01,479.61,4,orta
Beşiktaş,Yıldız Mahallesi,441.91,348.63,495.38,9,orta
Beşiktaş,Muradiye Mahallesi,473.64,454.44,492.85,2,dusuk
Beşiktaş,Abbasağa Mahallesi,461.48,454.44,468.52,2,dusuk
Beşiktaş,Dikilitaş Mahallesi,442.62,384.91,478.22,5,orta
Beşiktaş,Türkali Mahallesi,461.48,454.44,468.52,2,dusuk
Beşiktaş,Cihannüma Mahallesi,474.14,454.44,495.38,4,orta
Beşiktaş,Sinanpaşa Mahallesi,401.53,348.63,454.44,2,dusuk
Beşiktaş,Vişnezade Mahallesi,457.36,348.63,533.52,4,orta
Beşiktaş,Konaklar Mahallesi,367.4,261.11,426.87,9,orta
Beşiktaş,Levent Mahallesi,365.57,290.85,444.02,6,orta
Beşiktaş,Akat Mahallesi,367.36,261.11,451.42,6,orta
Bahçelievler,Bahçelievler Mahallesi,391.66,315.43,440.21,12,yuksek
Bahçelievler,Soğanlı Mahallesi,370.38,300.16,443.39,6,orta
Bahçelievler,Siyavuşpaşa Mahallesi,385.86,328.61,432.7,4,orta
Bahçelievler,Cumhuriyet Mahallesi,349.81,254.19,443.39,6,orta
Bahçelievler,Yenibosna Merkez Mahallesi,409.55,269.42,508.67,18,yuksek
Bahçelievler,Zafer Mahallesi,401.91,330.52,454.71,5,orta
Bahçelievler,Çobançeşme Mahallesi,402.29,269.42,480.5,6,orta
Bahçelievler,Şirinevler Mahallesi,352.49,281.37,432.7,5,orta
Beylikdüzü,Yakuplu Mahallesi,455.69,284.92,588.76,22,yuksek
Beylikdüzü,Sahil Mahallesi,468.45,385.43,552.94,12,yuksek
Beylikdüzü,Marmara Mahallesi,440.36,192.81,572.65,18,yuksek
Beylikdüzü,Kavaklı Mahallesi,441.37,287.05,552.94,15,yuksek
Beylikdüzü,Gürpınar Mahallesi,491.96,386.97,587.09,11,yuksek
Beylikdüzü,Dereağzı Mahallesi,449.12,180.0,552.94,19,yuksek
Beylikdüzü,Cumhuriyet Mahallesi,393.14,377.38,417.77,7,orta
Beylikdüzü,Büyükşehir Mahallesi,417.89,377.38,486.63,7,orta
Beylikdüzü,Barış Mahallesi,441.52,362.97,579.77,11,yuksek
Beylikdüzü,Adnan Kahveci Mahallesi,447.66,377.01,564.65,16,yuksek
Bakırköy,Ataköy 1. Kısım Mahallesi,317.61,257.3,368.47,5,orta
Bakırköy,Ataköy 2-5-6. Kısım Mahallesi,280.96,245.36,347.75,6,orta
Bakırköy,Ataköy 3-4-11. Kısım Mahallesi,345.11,269.41,404.08,5,orta
Bakırköy,Ataköy 7-8-9-10. Kısım Mahallesi,336.14,268.93,432.7,13,yuksek
Bakırköy,Basınköy Mahallesi,409.36,329.76,467.26,8,orta
Bakırköy,Cevizlik Mahallesi,345.43,298.15,369.68,3,dusuk
Bakırköy,Kartaltepe Mahallesi,348.01,267.26,395.82,8,orta
Bakırköy,Osmaniye Mahallesi,363.76,267.26,423.44,11,yuksek
Bakırköy,Sakızağacı Mahallesi,331.21,298.15,369.68,3,dusuk
Bakırköy,Şenlik Mahallesi,376.62,284.16,467.26,13,yuksek
Bakırköy,Yenimahalle Mahallesi,347.73,325.79,369.68,2,dusuk
Bakırköy,Yeşilköy Mahallesi,334.1,268.93,488.74,33,yuksek
Bakırköy,Yeşilyurt Mahallesi,305.02,245.36,350.12,6,orta
Bakırköy,Zeytinlik Mahallesi,338.17,298.15,369.68,4,orta
Bakırköy,Zuhuratbaba Mahallesi,369.56,319.17,432.7,8,orta
Bayrampaşa,Yıldırım Mahallesi,373.61,278.53,469.79,8,orta
Bayrampaşa,Yenidoğan Mahallesi,362.74,254.22,496.3,6,orta
Bayrampaşa,Vatan Mahallesi,377.54,305.87,438.46,4,orta
Bayrampaşa,Terazidere Mahallesi,358.95,241.11,438.46,4,orta
Bayrampaşa,Ortamahalle Mahallesi,372.66,305.87,438.46,5,orta
Bayrampaşa,Muratpaşa Mahallesi,336.97,254.22,439.95,4,orta
Bayrampaşa,Kocatepe Mahallesi,397.33,352.53,439.95,8,orta
Bayrampaşa,Kartaltepe Mahallesi,366.72,254.22,439.95,6,orta
Bayrampaşa,İsmetpaşa Mahallesi,374.54,301.18,439.95,5,orta
Bayrampaşa,Cevatpaşa Mahallesi,329.08,278.53,355.76,3,dusuk
Bayrampaşa,Altıntepsi Mahallesi,366.57,241.11,439.95,6,orta
Esenyurt,Bağlarçeşme Mahallesi,435.42,295.51,505.69,5,orta
Esenyurt,Üçevler Mahallesi,486.52,449.6,551.88,3,dusuk
Esenyurt,Fatih Mahallesi,422.17,295.51,551.88,5,orta
Esenyurt,Talatpaşa Mahallesi,452.41,299.66,551.88,3,dusuk
Esenyurt,Akevler Mahallesi,455.08,299.66,551.88,4,orta
Esenyurt,Mehmet Akif Ersoy Mahallesi,481.23,299.66,579.77,5,orta
Esenyurt,Mehterçeşme Mahallesi,474.32,299.66,579.77,7,orta
Esenyurt,Yeşilkent Mahallesi,488.75,320.96,569.64,5,orta
Esenyurt,Pınar Mahallesi,429.64,320.96,505.69,4,orta
Esenyurt,Battalgazi Mahallesi,413.97,320.96,505.55,5,orta
Esenyurt,Şehitler Mahallesi,431.63,320.96,505.55,4,orta
Esenyurt,Necip Fazıl Kısakürek Mahallesi,457.64,320.96,509.68,5,orta
Esenyurt,Hürriyet Mahallesi,474.08,426.13,509.68,5,orta
Esenyurt,İstiklal Mahallesi,507.61,505.55,509.68,2,dusuk
Esenyurt,Güzelyurt Mahallesi,492.21,339.67,579.77,6,orta
Esenyurt,Mevlana Mahallesi,484.91,377.38,579.77,4,orta
Esenyurt,Piri Reis Mahallesi,505.98,462.47,569.64,4,orta
Esenyurt,Cumhuriyet Mahallesi,483.98,377.38,569.64,4,orta
Esenyurt,Barbaros Hayrettin Paşa Mahallesi,438.66,377.38,502.27,6,orta
Esenyurt,Selahaddin Eyyubi Mahallesi,394.46,251.28,457.08,10,yuksek
Esenyurt,Çınar Mahallesi,415.38,341.74,481.47,4,orta
Esenyurt,Örnek Mahallesi,394.05,295.51,481.47,7,orta
Esenyurt,Zafer Mahallesi,455.38,339.67,565.99,9,orta
Esenyurt,Namık Kemal Mahallesi,470.25,339.67,565.99,5,orta
Esenyurt,Turgut Özal Mahallesi,517.51,434.72,557.98,4,orta
Esenyurt,Saadetdere Mahallesi,423.66,309.99,528.67,4,orta
Esenyurt,Sultaniye Mahallesi,422.86,295.51,488.27,4,orta
Esenyurt,Balıkyolu Mahallesi,506.09,449.6,535.24,6,orta
Esenyurt,İnönü Mahallesi,460.65,348.27,531.01,5,orta
Esenyurt,Yunus Emre Mahallesi,469.37,348.27,531.01,4,orta
Esenyurt,İncirtepe Mahallesi,417.18,348.27,486.1,2,dusuk
Esenyurt,Gökevler Mahallesi,431.65,378.41,482.56,5,orta
Esenyurt,Atatürk Mahallesi,437.29,273.58,530.27,8,orta
Esenyurt,Yenikent Mahallesi,438.84,295.51,535.24,4,orta
Esenyurt,Süleymaniye Mahallesi,486.61,436.32,535.24,3,dusuk
Esenyurt,Osmangazi Mahallesi,412.44,251.28,509.68,13,yuksek
Esenyurt,Orhangazi Mahallesi,382.43,291.49,469.16,13,yuksek
Esenyurt,Koza Mahallesi,376.4,251.28,434.17,9,orta
Esenyurt,Akçaburgaz Mahallesi,403.3,251.28,526.21,20,yuksek
Esenyurt,Ardıçlı Mahallesi,448.41,341.74,535.24,6,orta
Esenyurt,Aşık Veysel Mahallesi,411.97,309.03,492.66,7,orta
Esenyurt,Esenkent Mahallesi,476.06,365.0,529.95,5,orta
Esenyurt,Akşemseddin Mahallesi,480.69,348.27,565.99,8,orta
Avcılar,Cihangir Mahallesi,455.97,338.03,557.98,14,yuksek
Avcılar,Merkez Mahallesi,466.01,382.88,533.47,6,orta
Avcılar,Üniversite Mahallesi,468.77,338.03,574.82,11,yuksek
Avcılar,Mustafa Kemal Paşa Mahallesi,459.96,309.99,557.98,7,orta
Avcılar,Yeşilkent Mahallesi,463.17,228.18,546.09,19,yuksek
Avcılar,Gümüşpala Mahallesi,415.42,240.57,533.47,7,orta
Avcılar,Denizköşkler Mahallesi,402.18,237.82,480.79,9,orta
Avcılar,Ambarlı Mahallesi,422.79,284.92,509.63,9,orta
Avcılar,Firuzköy Mahallesi,415.07,228.18,624.14,34,yuksek
Avcılar,Tahtakale Mahallesi,439.13,323.05,573.08,34,yuksek
Sultangazi,Malkoçoğlu Mahallesi,346.94,251.3,447.33,4,orta
Sultangazi,50. Yıl Mahallesi,378.02,277.97,436.89,6,orta
Sultangazi,75. Yıl Mahallesi,415.62,319.36,460.93,8,orta
Sultangazi,Cebeci Mahallesi,403.35,251.3,544.39,30,yuksek
Sultangazi,Cumhuriyet Mahallesi,367.72,232.71,451.42,6,orta
Sultangazi,Esentepe Mahallesi,397.53,232.71,520.24,12,yuksek
Sultangazi,Eski Habipler Mahallesi,351.43,268.83,429.21,9,orta
Sultangazi,Gazi Mahallesi,441.48,393.68,487.73,5,orta
Sultangazi,Habipler Mahallesi,425.52,268.83,554.61,21,yuksek
Sultangazi,İsmetpaşa Mahallesi,360.67,251.3,423.4,6,orta
Sultangazi,Sultançiftliği Mahallesi,334.99,277.97,409.48,5,orta
Sultangazi,Uğurmumcu Mahallesi,362.1,274.92,520.24,7,orta
Sultangazi,Yayla Mahallesi,434.95,299.02,554.61,18,yuksek
Sultangazi,Yunus Emre Mahallesi,373.78,232.71,451.42,8,orta
Sultangazi,Zübeyde Hanım Mahallesi,443.31,341.08,551.66,13,yuksek
Başakşehir,Bahçeşehir 2. Kısım Mahallesi,465.27,290.61,586.77,28,yuksek
Başakşehir,Bahçeşehir 1. Kısım Mahallesi,465.89,290.61,581.63,28,yuksek
Başakşehir,Şahintepe Mahallesi,490.64,192.81,642.96,31,yuksek
Başakşehir,Kayabaşı Mahallesi,395.92,192.81,582.84,38,yuksek
Başakşehir,Güvercintepe Mahallesi,399.97,213.63,539.45,19,yuksek
Başakşehir,Şamlar Mahallesi,459.74,192.81,617.55,33,yuksek
Başakşehir,Başak Mahallesi,377.28,266.51,502.4,56,yuksek
Başakşehir,Başakşehir Mahallesi,371.48,239.59,459.9,25,yuksek
Başakşehir,Altınşehir Mahallesi,427.44,298.32,490.6,5,orta
Başakşehir,Organize Sanayi Bölgesi Mahallesi,366.08,272.21,434.9,22,yuksek
Başakşehir,Ziya Gökalp Mahallesi,365.22,265.59,490.6,23,yuksek
Esenler,Havaalanı Mahallesi,378.36,306.85,420.41,6,orta
Esenler,Yavuz Selim Mahallesi,283.88,241.11,326.64,2,dusuk
Esenler,Turgut Reis Mahallesi,368.29,306.85,420.41,3,dusuk
Esenler,Tuna Mahallesi,349.21,306.85,391.35,4,orta
Esenler,Oruçreis Mahallesi,359.84,277.97,434.19,32,yuksek
Esenler,Nenehatun Mahallesi,366.91,326.64,395.88,4,orta
Esenler,Namık Kemal Mahallesi,293.49,241.11,345.86,2,dusuk
Esenler,Mimar Sinan Mahallesi,316.68,241.11,382.28,3,dusuk
Esenler,Menderes Mahallesi,378.32,356.62,395.88,4,orta
Esenler,Kemer Mahallesi,393.02,366.05,425.92,6,orta
Esenler,Kazım Karabekir Mahallesi,377.01,356.62,395.88,3,dusuk
Esenler,Fevzi Çakmak Mahallesi,368.07,326.64,386.88,5,orta
Esenler,Fatih Mahallesi,362.98,342.03,395.88,4,orta
Esenler,Davutpaşa Mahallesi,302.28,241.11,345.86,4,orta
Esenler,Çiftehavuzlar Mahallesi,343.33,295.5,397.03,5,orta
Esenler,Birlik Mahallesi,365.19,306.85,420.26,6,orta
Eyüpsultan,Çiftalan Mahallesi,412.9,233.73,600.0,44,yuksek
Eyüpsultan,Ağaçlı Mahallesi,399.68,241.32,490.33,38,yuksek
Eyüpsultan,Akpınar Mahallesi,382.57,180.0,533.7,65,yuksek
Eyüpsultan,Odayeri Mahallesi,368.37,241.32,522.73,26,yuksek
Eyüpsultan,İhsaniye Mahallesi,376.63,256.94,466.25,16,yuksek
Eyüpsultan,Işıklar Mahallesi,393.76,279.44,554.6,29,yuksek
Eyüpsultan,Pirinççi Mahallesi,409.22,246.09,554.61,65,yuksek
Eyüpsultan,Göktürk Merkez Mahallesi,384.43,238.31,522.73,63,yuksek
Eyüpsultan,Mithatpaşa Mahallesi,388.17,233.73,551.66,113,yuksek
Eyüpsultan,Mimar Sinan Mahallesi,383.29,261.12,479.17,41,yuksek
Eyüpsultan,Akşemsettin Mahallesi,401.37,273.6,497.33,7,orta
Eyüpsultan,Alibeyköy Mahallesi,403.2,299.54,517.43,5,orta
Eyüpsultan,Çırçır Mahallesi,437.9,374.74,517.43,5,orta
Eyüpsultan,Defterdar Mahallesi,387.59,250.63,512.62,8,orta
Eyüpsultan,Emniyettepe Mahallesi,356.66,274.55,480.54,4,orta
Eyüpsultan,Esentepe Mahallesi,408.5,299.54,562.65,5,orta
Eyüpsultan,Güzeltepe Mahallesi,389.49,261.12,534.96,28,yuksek
Eyüpsultan,İslambey Mahallesi,477.95,380.12,559.73,4,orta
Eyüpsultan,Karadolap Mahallesi,396.94,299.54,517.43,6,orta
Eyüpsultan,Merkez Mahallesi,484.74,372.01,562.65,7,orta
Eyüpsultan,Nişancı Mahallesi,464.8,380.12,526.01,4,orta
Eyüpsultan,Sakarya Mahallesi,419.66,299.54,562.65,4,orta
Eyüpsultan,Silahtarağa Mahallesi,467.33,372.01,562.65,2,dusuk
Eyüpsultan,Yeşilpınar Mahallesi,350.89,273.6,437.28,6,orta
Eyüpsultan,Topçular Mahallesi,370.96,250.63,526.01,10,yuksek
Eyüpsultan,Rami Yeni Mahalle,374.41,254.22,496.3,4,orta
Eyüpsultan,Rami Cuma Mahallesi,507.0,445.95,559.73,4,orta
Eyüpsultan,Düğmeciler Mahallesi,487.58,440.44,526.01,3,dusuk
Bağcılar,Kirazlı Mahallesi,389.39,294.55,470.46,4,orta
Bağcılar,Yıldıztepe Mahallesi,345.76,254.19,446.92,5,orta
Bağcılar,Yenimahalle Mahallesi,377.61,315.63,470.46,6,orta
Bağcılar,Yenigün Mahallesi,367.04,254.19,446.92,4,orta
Bağcılar,Yavuzselim Mahallesi,379.78,294.55,463.23,6,orta
Bağcılar,Sancaktepe Mahallesi,400.38,357.37,463.23,3,dusuk
Bağcılar,Kemalpaşa Mahallesi,379.65,359.29,391.35,4,orta
Bağcılar,Kazımkarabekir Mahallesi,358.37,294.55,458.4,3,dusuk
Bağcılar,İnönü Mahallesi,381.71,294.55,463.23,4,orta
Bağcılar,Hürriyet Mahallesi,409.43,359.5,458.4,4,orta
Bağcılar,Güneşli Mahallesi,424.58,315.63,492.68,8,orta
Bağcılar,Göztepe Mahallesi,390.57,321.88,443.9,9,orta
Bağcılar,Fevzi Çakmak Mahallesi,371.52,306.85,463.23,7,orta
Bağcılar,Fatih Mahallesi,396.88,359.29,443.9,3,dusuk
Bağcılar,Demirkapı Mahallesi,397.06,315.63,457.81,6,orta
Bağcılar,Çınar Mahallesi,405.49,357.37,463.23,3,dusuk
Bağcılar,Barbaros Mahallesi,379.39,294.55,458.4,4,orta
Bağcılar,Bağlar Mahallesi,402.16,328.68,484.08,6,orta
Bağcılar,Bağcılar Merkez Mahallesi,404.54,356.09,463.23,6,orta
Bağcılar,100. Yıl Mahallesi,373.82,321.88,404.34,8,orta
Bağcılar,15 Temmuz Mahallesi,416.17,328.29,492.68,8,orta
Bağcılar,Mahmutbey Mahallesi,390.48,298.32,495.24,14,yuksek
Arnavutköy,Yeniköy Mahallesi,380.91,192.81,522.51,74,yuksek
Arnavutköy,Tayakadın Mahallesi,398.62,253.75,547.83,80,yuksek
Arnavutköy,Dursunköy Mahallesi,429.86,266.47,567.77,59,yuksek
Arnavutköy,Haraççı Mahallesi,380.63,251.31,491.02,30,yuksek
Arnavutköy,Çilingir Mahallesi,409.44,241.22,552.5,38,yuksek
Arnavutköy,Baklalı Mahallesi,398.41,229.73,502.4,41,yuksek
Arnavutköy,İmrahor Mahallesi,365.24,192.81,533.7,81,yuksek
Arnavutköy,Fatih Mahallesi,386.63,287.83,455.47,9,orta
Arnavutköy,Adnan Menderes Mahallesi,371.63,251.31,459.66,10,yuksek
Arnavutköy,Mareşal Fevzi Çakmak Mahallesi,395.32,276.99,493.96,12,yuksek
Arnavutköy,Mehmet Akif Ersoy Mahallesi,395.25,276.99,459.66,9,orta
Arnavutköy,Yavuz Selim Mahallesi,404.37,256.83,494.81,12,yuksek
Arnavutköy,İslambey Mahallesi,400.19,256.83,459.43,8,orta
Arnavutköy,Karlıbayır Mahallesi,385.63,320.64,462.88,9,orta
Arnavutköy,Boyalık Mahallesi,398.43,229.73,523.32,67,yuksek
Arnavutköy,Sazlıbosna Mahallesi,469.79,297.54,617.55,49,yuksek
Arnavutköy,Hadımköy Mahallesi,411.28,257.89,554.35,32,yuksek
Arnavutköy,Hastane Mahallesi,426.89,257.89,530.1,20,yuksek
Arnavutköy,Taşoluk Mahallesi,402.34,369.12,437.4,6,orta
Arnavutköy,Deliklikaya Mahallesi,465.57,290.61,581.63,18,yuksek
Arnavutköy,Ömerli Mahallesi,433.25,291.49,560.11,30,yuksek
Arnavutköy,Hacımaşlı Mahallesi,445.28,233.73,563.14,71,yuksek
Arnavutköy,Durusu Mahallesi,354.56,290.8,437.64,5,orta
Arnavutköy,Boğazköy İstiklal Mahallesi,408.12,249.29,543.6,67,yuksek
Arnavutköy,Nenehatun Mahallesi,429.54,389.17,494.81,6,orta
Arnavutköy,Mustafa Kemal Paşa Mahallesi,420.71,389.17,462.88,7,orta
Arnavutköy,Arnavutköy Merkez Mahallesi,418.3,241.78,544.91,21,yuksek
Arnavutköy,Anadolu Mahallesi,433.43,318.25,476.08,7,orta
Arnavutköy,Terkos Mahallesi,364.25,233.73,490.1,45,yuksek
Arnavutköy,Karaburun Mahallesi,373.36,228.19,514.06,26,yuksek
Arnavutköy,Balaban Mahallesi,330.47,180.0,494.31,104,yuksek
Arnavutköy,Yeşilbayır Mahallesi,444.46,287.98,541.96,36,yuksek
Arnavutköy,Yassıören Mahallesi,409.76,241.32,561.62,90,yuksek
Arnavutköy,Bolluca Mahallesi,369.99,260.89,478.91,31,yuksek
Arnavutköy,Hicret Mahallesi,367.59,292.33,447.55,7,orta
Arnavutköy,Atatürk Mahallesi,422.57,329.71,476.08,4,orta
Arnavutköy,Mavigöl Mahallesi,358.3,292.33,412.07,9,orta
Arnavutköy,Yunus Emre Mahallesi,423.29,318.25,507.71,6,orta
Gaziosmanpaşa,Bağlarbaşı Mahallesi,352.58,315.67,430.85,4,orta
Gaziosmanpaşa,Barbaros Hayrettin Paşa,399.43,278.53,475.91,6,orta
Gaziosmanpaşa,Fevzi Çakmak Mahallesi,375.74,233.72,516.3,4,orta
Gaziosmanpaşa,Hürriyet Mahallesi,427.28,327.18,516.3,4,orta
Gaziosmanpaşa,Karadeniz Mahallesi,366.76,232.71,475.91,7,orta
Gaziosmanpaşa,Karayolları Mahallesi,336.77,232.71,475.91,7,orta
Gaziosmanpaşa,Karlıtepe Mahallesi,437.49,306.79,559.73,3,dusuk
Gaziosmanpaşa,Kazımkarabekir Mahallesi,326.57,233.72,437.28,6,orta
Gaziosmanpaşa,Merkez Mahallesi,377.53,254.22,516.3,7,orta
Gaziosmanpaşa,Mevlana Mahallesi,397.14,273.6,497.33,7,orta
Gaziosmanpaşa,Pazariçi Mahallesi,479.77,306.79,562.65,4,orta
Gaziosmanpaşa,Sarıgöl Mahallesi,358.97,254.22,445.95,5,orta
Gaziosmanpaşa,Şemsipaşa Mahallesi,397.5,315.67,516.3,4,orta
Gaziosmanpaşa,Yenidoğan Mahallesi,410.73,306.79,559.73,4,orta
Gaziosmanpaşa,Yeni Mahalle,397.67,233.72,516.3,5,orta
Gaziosmanpaşa,Yıldıztabya Mahallesi,389.81,306.79,562.65,6,orta
Güngören,Tozkoparan Mahallesi,367.44,311.48,415.37,7,orta
Güngören,Sanayi Mahallesi,340.94,295.5,408.53,6,orta
Güngören,Mehmet Nesih Özmen Mahallesi,369.99,296.59,423.44,7,orta
Güngören,Mareşal Çakmak Mahallesi,367.73,254.19,440.21,4,orta
Güngören,Haznedar Mahallesi,398.11,368.0,440.21,3,dusuk
Güngören,Güven Mahallesi,380.59,315.43,440.21,3,dusuk
Güngören,Güngören Merkez Mahallesi,371.89,296.59,440.21,6,orta
Güngören,Güneştepe Mahallesi,356.65,254.19,408.53,4,orta
Güngören,Gençosman Mahallesi,362.53,295.5,407.77,7,orta
Güngören,Akıncılar Mahallesi,383.04,315.43,440.21,4,orta
Güngören,Abdurrahman Nafiz Gürman Mahallesi,401.02,364.76,423.44,5,orta
Zeytinburnu,Beştelsiz Mahallesi,358.22,297.93,405.91,4,orta
Zeytinburnu,Çırpıcı Mahallesi,352.18,297.93,393.98,4,orta
Zeytinburnu,Gökalp Mahallesi,383.76,344.72,405.91,4,orta
Zeytinburnu,Kazlıçeşme Mahallesi,341.88,232.8,405.91,11,yuksek
Zeytinburnu,Merkezefendi Mahallesi,355.83,322.69,387.05,6,orta
Zeytinburnu,Nuripaşa Mahallesi,348.63,317.1,396.41,4,orta
Zeytinburnu,Seyitnizam Mahallesi,354.68,297.93,393.98,8,orta
Zeytinburnu,Sümer Mahallesi,328.5,267.26,372.1,5,orta
Zeytinburnu,Telsiz Mahallesi,362.71,297.93,405.91,3,dusuk
